gene ;151f_1_10;126f_10_10;96f_11_10;175f_17_10;79f_1_40;100f_10_40;99f_11_40;163f_17_40
Contig227;2;0;0;0;0;0;0;0
Contig2280;0;2;0;0;0;0;0;0
Contig229;2;0;0;0;1;0;1;0
Contig23;1;0;0;0;1;0;1;1
Contig230;2;0;0;1;0;1;0;0
Contig2304;0;1;0;0;0;2;0;0
Contig231;1;0;0;0;0;0;1;0
Contig2310;0;3;1;0;0;0;0;0
Contig2313;0;1;0;0;1;0;0;0
Contig2315;0;2;0;0;0;0;0;0
Contig2318;0;1;1;0;0;0;0;0
Contig232;1;1;1;0;0;0;0;0
Contig2325;0;1;0;0;0;0;2;0
Contig2326;0;1;0;1;0;0;0;0
Contig233;1;0;0;0;1;1;3;0
Contig2332;0;1;1;0;0;1;0;0
Contig2333;0;1;2;3;1;2;2;0
Contig2334;0;1;0;0;0;0;1;0
Contig234;1;0;0;0;0;0;17;0
Contig2340;1;14;5;4;6;9;35;5
Contig2346;0;10;2;1;1;0;0;0
Contig2347;0;1;0;0;0;0;1;0
Contig2348;0;1;0;0;0;0;0;1
Contig2354;0;1;0;0;0;0;1;0
Contig2359;0;2;0;0;0;0;0;0
Contig236;1;0;0;0;0;1;0;0
Contig2360;0;1;1;1;0;0;0;0
Contig2362;0;1;1;0;0;0;0;0
Contig237;1;0;0;0;0;0;1;0
Contig238;1;0;1;0;0;2;2;0
Contig2385;0;1;0;0;0;0;0;1
Contig2386;0;1;1;1;0;0;2;1
Contig2387;0;1;0;0;1;1;0;1
Contig239;2;0;0;0;0;11;0;1
Contig2393;0;1;0;0;1;0;0;0
Contig2398;0;2;0;0;0;0;0;0
Contig24;2;1;0;4;1;2;0;0
Contig2403;0;1;0;0;0;0;0;1
Contig2406;0;1;0;0;0;0;0;1
Contig241;1;0;0;0;1;0;0;0
Contig2411;3;4;0;0;0;1;1;1
Contig2412;0;0;2;1;0;0;0;1
Contig2413;4;4;24;1;4;17;5;8
Contig2415;0;0;5;0;0;0;0;0
Contig2416;0;0;2;0;0;0;0;1
Contig2417;0;0;4;0;0;0;0;0
Contig2418;1;1;11;4;5;3;16;5
Contig2419;0;0;2;0;0;0;0;0
Contig242;15;0;3;4;1;41;3;0
Contig2421;0;0;1;0;0;0;1;0
Contig2422;0;1;1;2;0;1;0;2
