"";"domain";"phylum";"class";"order";"family";"genus"
"OTU_710";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_711";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"?"
"OTU_712";"Bacteria";"Actinobacteria";"Actinobacteria";"Coriobacteriales";"Coriobacteriaceae";"?"
"OTU_713";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_714";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"?"
"OTU_715";"Bacteria";"?";"?";"?";"?";"?"
"OTU_716";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_717";"Bacteria";"Firmicutes";"?";"?";"?";"?"
"OTU_718";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_719";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Anaerotruncus"
"OTU_720";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_721";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Clostridium XlVb"
"OTU_722";"Bacteria";"?";"?";"?";"?";"?"
"OTU_723";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Barnesiella"
"OTU_724";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_725";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_726";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_727";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_728";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_729";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_730";"Bacteria";"Firmicutes";"?";"?";"?";"?"
"OTU_731";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_732";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_733";"Bacteria";"?";"?";"?";"?";"?"
"OTU_734";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_735";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_736";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_737";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_738";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_739";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus"
"OTU_740";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_741";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_742";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Undibacterium"
"OTU_743";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_744";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_745";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_746";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_747";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_748";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter"
"OTU_749";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_750";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella"
"OTU_751";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_752";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"?"
"OTU_753";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_754";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Anaerostipes"
"OTU_755";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Eubacteriaceae";"Eubacterium"
"OTU_756";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfovibrionales";"?";"?"
"OTU_757";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"?";"?"
"OTU_758";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Roseburia"
"OTU_759";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"?"
"OTU_760";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_761";"Bacteria";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter"
"OTU_762";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes"
"OTU_763";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_764";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Barnesiella"
"OTU_765";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"?"
"OTU_766";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Flavonifractor"
"OTU_767";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Flavonifractor"
"OTU_768";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Clostridium IV"
"OTU_769";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_770";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_771";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_772";"Bacteria";"Firmicutes";"?";"?";"?";"?"
"OTU_773";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_774";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus"
"OTU_775";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_776";"Bacteria";"?";"?";"?";"?";"?"
"OTU_777";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"?";"?"
"OTU_778";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes"
"OTU_779";"Bacteria";"Firmicutes";"?";"?";"?";"?"
"OTU_780";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae 1";"Clostridium sensu stricto"
"OTU_781";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_782";"Bacteria";"?";"?";"?";"?";"?"
"OTU_783";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"?"
"OTU_784";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_785";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_786";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_787";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Sutterellaceae";"Parasutterella"
"OTU_788";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_789";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella"
"OTU_790";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_791";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_792";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Blautia"
"OTU_793";"Bacteria";"Firmicutes";"?";"?";"?";"?"
"OTU_794";"Bacteria";"?";"?";"?";"?";"?"
"OTU_795";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_796";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptococcaceae 1";"Peptococcus"
"OTU_797";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_798";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_799";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_800";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Dorea"
"OTU_801";"Bacteria";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter"
"OTU_802";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_803";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_804";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_805";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_806";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_807";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_808";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_809";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_810";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_811";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Clostridium IV"
"OTU_812";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_813";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes"
"OTU_814";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_815";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_816";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_817";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_818";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus"
"OTU_819";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_820";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_821";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_822";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_823";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Butyricimonas"
"OTU_824";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_825";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_826";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella"
"OTU_827";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_828";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Roseburia"
"OTU_829";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus"
"OTU_830";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_831";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus"
"OTU_832";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_833";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Blautia"
"OTU_834";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Hyphomicrobiaceae";"Gemmiger"
"OTU_835";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_836";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_837";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_838";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_839";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Barnesiella"
"OTU_840";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfovibrionales";"Desulfovibrionaceae";"Desulfovibrio"
"OTU_841";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_842";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Clostridium XlVb"
"OTU_843";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_844";"Bacteria";"?";"?";"?";"?";"?"
"OTU_845";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Erysipelotrichaceae_incertae_sedis"
"OTU_846";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Blautia"
"OTU_847";"Bacteria";"Firmicutes";"?";"?";"?";"?"
"OTU_848";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella"
"OTU_849";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_850";"Bacteria";"Fusobacteria";"Fusobacteria";"Fusobacteriales";"Fusobacteriaceae";"Fusobacterium"
